2021-10-13 16:19:15,833 DEBUG  ROS Time: 1634113155 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:17,837 DEBUG  ROS Time: 1634113157 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:19,842 DEBUG  ROS Time: 1634113159 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:21,847 DEBUG  ROS Time: 1634113161 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:23,854 DEBUG  ROS Time: 1634113163 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:25,860 DEBUG  ROS Time: 1634113165 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:27,865 DEBUG  ROS Time: 1634113167 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:29,872 DEBUG  ROS Time: 1634113169 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:31,878 DEBUG  ROS Time: 1634113171 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:33,881 DEBUG  ROS Time: 1634113173 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:35,886 DEBUG  ROS Time: 1634113175 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:37,892 DEBUG  ROS Time: 1634113177 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:39,897 DEBUG  ROS Time: 1634113179 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:41,902 DEBUG  ROS Time: 1634113181 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:43,905 DEBUG  ROS Time: 1634113183 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:45,911 DEBUG  ROS Time: 1634113185 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:47,920 DEBUG  ROS Time: 1634113187 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:49,923 DEBUG  ROS Time: 1634113189 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:51,929 DEBUG  ROS Time: 1634113191 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:53,933 DEBUG  ROS Time: 1634113193 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:55,937 DEBUG  ROS Time: 1634113195 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:57,941 DEBUG  ROS Time: 1634113197 | active tasks: 2 | terminated tasks: 1 | active robots: 1
2021-10-13 16:19:59,946 DEBUG  ROS Time: 1634113199 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:01,950 DEBUG  ROS Time: 1634113201 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:03,953 DEBUG  ROS Time: 1634113203 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:05,958 DEBUG  ROS Time: 1634113205 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:07,966 DEBUG  ROS Time: 1634113207 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:09,971 DEBUG  ROS Time: 1634113209 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:11,977 DEBUG  ROS Time: 1634113211 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:13,983 DEBUG  ROS Time: 1634113213 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:15,989 DEBUG  ROS Time: 1634113215 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:17,994 DEBUG  ROS Time: 1634113217 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:19,999 DEBUG  ROS Time: 1634113219 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:22,005 DEBUG  ROS Time: 1634113222 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:24,010 DEBUG  ROS Time: 1634113224 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:26,015 DEBUG  ROS Time: 1634113226 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:28,021 DEBUG  ROS Time: 1634113228 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:30,026 DEBUG  ROS Time: 1634113230 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:32,029 DEBUG  ROS Time: 1634113232 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:34,034 DEBUG  ROS Time: 1634113234 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:36,037 DEBUG  ROS Time: 1634113236 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:38,041 DEBUG  ROS Time: 1634113238 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:40,045 DEBUG  ROS Time: 1634113240 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:42,050 DEBUG  ROS Time: 1634113242 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:44,055 DEBUG  ROS Time: 1634113244 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:46,061 DEBUG  ROS Time: 1634113246 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:48,065 DEBUG  ROS Time: 1634113248 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:50,072 DEBUG  ROS Time: 1634113250 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:52,077 DEBUG  ROS Time: 1634113252 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:54,087 DEBUG  ROS Time: 1634113254 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:56,096 DEBUG  ROS Time: 1634113256 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:20:58,106 DEBUG  ROS Time: 1634113258 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:21:00,214 DEBUG  ROS Time: 1634113260 | active tasks: 1 | terminated tasks: 2 | active robots: 1
2021-10-13 16:21:02,216 DEBUG  ROS Time: 1634113262 | active tasks: 1 | terminated tasks: 2 | active robots: 1
